"","site_ID","transect","transect_bearing","observer","observer_no","date","obs_time","lat","long","waypoint_ID","species","n_animals","left_or_right","right_angle","bearing_to_animal","distance_to_animal","distance_on_transect","obs_type","behavior","tree_species","comments","seen_by_obs1","seen_by_obs2","seen_by_both","time"
"39","Mohican_1",2,342,"OLM",1,2024-02-01,0.978472222222222,-37.3645,145.6612,"MOH1 T2 OLM 4","Common ringtail possum",1,"left","Yes","220","3","400","seen","idle","Peppermint Gum",NA,"1","0","0",23.4833333333333
"40","Mohican_3",1,160,"EW",1,2023-03-08,0.786805555555556,-37.3529166,145.63839,"MOI_1_EW_2","Feathertail glider",1,"Left","Na","272","10","230m","seen","Gliding","N/A",NA,"1","0","0",18.8833333333333
"41","Mohican_3",3,160,"EW",1,2023-03-08,0.854861111111111,-37.353022,145.639966,"MOI_3_EW_3","Common ringtail possum",1,"Right","No","12","10","220m","seen","Idle","Messmate",NA,"1","0","1",20.5166666666667
"42","Narbethong",1,170,"CT",1,2023-02-08,0.848611111111111,-37.530296,145.58834,"NAR1 CT 1","Common ringtail possum",1,"right ","no","290","5","100","seen","Idle","E. viminalis",NA,"1","0","0",20.3666666666667
"43","Narbethong",1,170,"CT",1,2023-02-08,0.85625,-37.529485,145.588432,"NAR1 CT 2","Common ringtail possum",1,"right ","no","247","8","275","seen","Idle","E. viminalis",NA,"1","0","0",20.55
"44","Narbethong",2,350,"CT",1,2023-02-08,0.898611111111111,-37.528646,145.589123,"NAR2 CT 4","Common ringtail possum",1,"left","no","180","22","200","seen","Idle","Acacia Spp",NA,"1","0","0",21.5666666666667
"45","Narbethong",2,350,"CT",1,2023-02-08,0.910416666666667,-37.529892,145.589096,"NAR 2 CT 5","Common ringtail possum",1,"right","no","185","4","375","seen","Idle","Acacia Spp",NA,"1","0","0",21.85
"46","Osborne",1,150,"OLM",1,2023-08-23,0.786111111111111,37.36544,144.23033,"OSB1 OLM 1","Feathertail glider",1,"Left","No","60","2","0.33","seen","moving","Smooth bark Euc",NA,"1","0","0",18.8666666666667
"47","Osborne",2,340,"OLM",1,2023-08-23,0.817361111111111,37.36472,144.22916,"OSB2 OLM 3","Southern greater glider",1,"Right","Yes","42","80","0.24","seen","Idle","Smooth bark Euc",NA,"1","0","0",19.6166666666667
"48","Quodpod",1,88,"OLM",1,2024-01-24,0.920138888888889,-37.407706976,145.607800959,"QUA 1 OLM 2","Common ringtail possum",1,"right","Yes","136","40","20","seen","resting","Stringybark Gum",NA,"1","0","0",22.0833333333333
"49","Quodpod",1,88,"OLM",1,2024-01-24,0.927083333333333,-37.407622989,145.608045962,"QUA1 OLM 3","Common ringtail possum",2,"left","Yes","136","40","45","seen","moving","Gum",NA,"1","0","0",22.25
"50","Quodpod",1,88,"OLM",1,2024-01-24,0.945833333333333,-37.407689961,145.610402031,"QUA1 OLM 4","Common ringtail possum",1,"left","Yes","18","20","250","seen","idle","Gum",NA,"1","0","0",22.7
"51","Quodpod",1,88,"OLM",1,2024-01-24,0.954861111111111,-37.407675041,145.611105021,"QUA1 OLM 5","Common ringtail possum",1,"left","No","261","40","310","seen","moving","Gum",NA,"1","0","0",22.9166666666667
"52","Quodpod",2,268,"OLM",1,2024-01-24,0.977777777777778,-37.407957008,145.612172959,"QUA2 OLM 1","Common ringtail possum",1,"left","Yes","154","2","70","seen","moving","Dead tree",NA,"1","0","0",23.4666666666667
"53","Quodpod",3,89,"OLM",1,2024-01-25,0.0430555555555556,-37.408598978,145.607774975,"QUA3 OLM 1","Common ringtail possum",1,"right","Yes","215","2","25","seen","moving","Roughbark Gum",NA,"1","0","0",1.03333333333333
"54","Troop",1,310,"KA",1,2023-07-17,0.813194444444444,-37.5786009896546,145.703291036188,"Trp_KA_2","Mountain brushtail possum",1,"R","No","111","21","12","seen","Idle","Peppermint",NA,"1","0","0",19.5166666666667
"55","Troop",1,310,"KA",1,2023-07-17,0.820138888888889,-37.5779770407825,145.702655017375,"Trp_KA_3","Common ringtail possum",1,"R","No","290","23","97","seen","Idle","Peppermint ",NA,"1","0","0",19.6833333333333
"56","Troop",1,310,"KA",1,2023-07-17,0.831944444444444,-37.5774659961462,145.702223014086,"Trp_KA_5","Red fox",1,"R","Yes","24","10","160","seen","Scanning. Looking at me","N/A",NA,"1","0","0",19.9666666666667
"57","Troop",1,310,"KA",1,2023-07-17,0.839583333333333,-37.5770009681582,145.701815988868,"Trp_KA_6","Southern greater glider",1,"L","Yes","250","19","229","seen","Sitting on branch, moved from foliage to look at me","Peppermint ","B/W","1","0","0",20.15
"58","Troop",2,145,"KA",1,2023-07-17,0.861805555555556,-37.5751840230077,145.699570979923,"Trp_KA_7","Southern greater glider",1,"R","No","266","12","0","seen","Sitting on branch, faced away from me","Peppermint ","B/W","1","0","0",20.6833333333333
"59","Troop",2,145,"KA",1,2023-07-17,0.865277777777778,-37.5756270065903,145.699729984626,"Trp_KA_9","Southern greater glider",1,"R","Yes","266","22","50","seen","Moved behind foliage ","Peppermint ","B/W","1","0","0",20.7666666666667
"60","Troop",2,145,"KA",1,2023-07-17,0.876388888888889,-37.5760849937796,145.700400033965,"Trp_KA_10","Common ringtail possum",1,"L","Yes","173","5","130","seen","Idle","Peppermint ","B/W","1","0","0",21.0333333333333
"61","Troop",2,145,"KA",1,2023-07-17,0.879861111111111,-37.5764770153909,145.700553003698,"Trp_KA_11","Feral cat",1,"R","No","141","2","171","seen","N/A","N/A","B/W","1","0","0",21.1166666666667
"62","Troop",2,145,"KA",1,2023-07-17,0.880555555555556,-37.5765599962323,145.700594997033,"Trp_KA_12","Southern greater glider",1,"R","No","151","8","171","seen","Looking at me","Peppermint ","B/W","1","0","0",21.1333333333333
"63","Troop",2,145,"KA",1,2023-07-17,0.891666666666667,-37.5792510062456,145.702873030677,"Trp_KA_14","Southern greater glider",1,"L","No","132","0","490","seen","looking at me","Peppermint ","B/W","1","0","0",21.4
"64","Troop",2,145,"KA",1,2023-07-17,0.89375,-37.5792779959738,145.702877976,"Trp_KA_16","Southern greater glider",1,"R","Yes","215","0","490","seen","looking at me then moved behind foliage ","Peppermint ","B/W","1","0","0",21.45
"65","Troop",3,310,"KA",1,2023-07-17,0.911111111111111,-37.5779130030423,145.700943013653,"Trp_KA_18","Feathertail glider",1,"L","Yes","235","2","180","seen","N/A","N/A","Gliding","1","0","0",21.8666666666667
"66","Troop",3,310,"KA",1,2023-07-17,0.920138888888889,-37.5765409693121,145.699699977412,"Trp_KA_19","Southern greater glider",1,"R","Yes","39","8","371","seen","Staring ","Peppermint ","B/W","1","0","0",22.0833333333333
"67","Troop",2,145,"CT",2,2023-07-17,0.890277777777778,-37.576306,145.700518,"Trp_CT_4","Southern greater glider",1,"L","Yes","20","5","150","seen","Watching observer","Peppermint","B/W","1","0","0",21.3666666666667
"68","Troop",2,145,"CT",2,2023-07-17,0.902777777777778,-37.577248,145.70133,"Trp_CT_6","Southern greater glider",1,"L","Yes","222","2","300","seen","Idle","Peppermint","B/W","1","0","0",21.6666666666667
"69","Troop",2,145,"CT",2,2023-07-17,0.906944444444444,-37.578597,145.702538,"Trp_CT_7","Southern greater glider",1,"R","Yes","242","10","470","seen","Idle","Peppermint","B/W","1","0","0",21.7666666666667
"70","Troop",2,145,"CT",2,2023-07-17,0.909722222222222,-37.578901,145.702751,"Trp_CT_8","Southern greater glider",1,"L","No","107","30","495","seen","Idle","Peppermint","B/W","1","0","0",21.8333333333333
"71","Troop",3,310,"CT",2,2023-07-17,0.93125,-37.576683,145.700097,"Trp_CT_10","Southern greater glider",1,"R","Yes","43","22","350","seen","Watching observer","Peppermint","B/W","1","0","0",22.35
"72","United",1,120,"OLM",1,2024-02-07,0.9125,-37.9443,146.2823,"UNI T1 OLM 2","Common ringtail possum",2,"left","Yes","340","15","324","seen","moving","Stringybark",NA,"1","0","0",21.9
"73","United",2,300,"OLM",1,2024-02-07,0.979166666666667,-37.9424,146.2796,"UNI T2 OLM 2","Southern greater glider",1,"right","No","0","20","500","seen","idle","Gum",NA,"1","0","0",23.5
"74","Kinglake",1,243,"JJ",2,2024-02-06,0.975694444444444,-37.4436,145.323679,"KL T1 JJ 2","Southern greater glider",1,"Right","No","290","20","75","seen","idle","Peppermint Gum",NA,"0","1","0",23.4166666666667
"75","Kinglake",1,243,"JJ",2,2024-02-06,0.981944444444444,-37.4438,145.323252,"KL T1 JJ 3","Southern greater glider",1,"Right","Yes","325","25","115","seen","idle","Peppermint Gum",NA,"0","1","0",23.5666666666667
"76","Kinglake",2,63,"JJ",2,2024-02-06,0.936111111111111,-37.4453,145.321251,"KL T2 JJ 1","Southern greater glider",1,"Left","No","300","10","170","seen","idle","Gum",NA,"0","1","0",22.4666666666667
"77","Kinglake",2,63,"JJ",2,2024-02-06,0.952083333333333,-37.4447,145.322584,"KL T2 JJ 2","Southern greater glider",1,"Left","No","10","25","305","seen","idle","Gum",NA,"0","1","0",22.85
"78","Kinglake",3,242,"JJ",2,2024-02-06,0.882638888888889,-37.4442,145.324793,"KL T3 JJ 1","Southern greater glider",1,"Right","Yes","0","20","0","seen","idle","Peppermint Gum",NA,"0","1","0",21.1833333333333
"79","Kinglake",3,242,"JJ",2,2024-02-06,0.888194444444444,-37.4444,145.324359,"KL T3 JJ2","Southern greater glider",1,"Right","No","20","20","47","seen","idle","Peppermint Gum",NA,"0","1","0",21.3166666666667
"80","297-806-0001",3,131,"SC",2,2024-01-19,0.0208333333333333,-37.48708131,145.4344775,"297 3 SC 1","Southern greater glider",1,"left","Yes","350","15","0","seen","staring","Peppermint Gum",NA,"0","1","0",0.5
"81","297-806-0001",3,131,"SC",2,2024-01-19,0.025,-37.4872576,145.4348583,"297 3 SC 2","Southern greater glider",2,"left","No","85","30","35","seen","staring","Peppermint Gum",NA,"0","1","0",0.6
"82","297-806-0001",3,131,"SC",2,2024-01-19,0.0381944444444444,-37.48796759,145.4353864,"297 3 SC 3","Common ringtail possum",2,"right","Yes","220","30","125","seen","moving","Peppermint Gum",NA,"0","1","0",0.916666666666667
"83","297-806-0001",2,312,"SC",2,2024-01-18,0.997916666666667,-37.4872059747576,145.435275994241,"297 2 SC 2","Southern greater glider",2,"left","No","35","30","441","seen","staring","Peppermint Gum",NA,"0","1","0",23.95
"84","297-806-0001",2,312,"SC",2,2024-01-19,1.00972222222222,-37.48674296,145.4347899,"297 2 SC 4","Common ringtail possum",1,"left","No","200","15","500","seen","resting","Peppermint Gum",NA,"0","1","0",24.2333333333333
"85","299-510-0007",1,152,"NP",2,2024-02-16,0.989583333333333,-37.513816,145.599393,"YEL T1 NP 2","Common ringtail possum",1,"Left","Yes","47","17","235","seen","resting","Wattle",NA,"0","1","0",23.75
"86","299-510-0007",1,152,"NP",2,2024-02-17,0.00347222222222222,-37.51517002,145.600212,"YEL T1 NP 3","Mountain brushtail possum",1,"Right","Yes","235","20","405","seen","resting","Wattle",NA,"0","1","0",0.0833333333333333
"87","299-510-0007",3,156,"NP",2,2024-02-16,0.906944444444444,-37.51445202,145.598364,"YEL T3 NP 3","Mountain brushtail possum",1,"Right","No","127","30","235","seen","climbing","Gum",NA,"0","1","0",21.7666666666667
"88","299-510-0007",3,156,"NP",2,2024-02-16,0.914583333333333,-37.51511998,145.59885,"YEL T3 NP 4","Southern greater glider",1,"Left","No","50","35","320","seen","resting","Gum",NA,"0","1","0",21.95
"89","299-944-0002",2,160,"JJ",2,2024-01-31,0.929861111111111,-37.5082429591566,145.60366901569,"NAR T2 JJ 1","Southern greater glider",1,"Left","Yes","50","25","107","seen","idle","Gum",NA,"0","1","0",22.3166666666667
"90","299-944-0002",2,160,"JJ",2,2024-01-31,0.940972222222222,-37.5101260375231,145.604375023394,"NAR T2 JJ 2","Southern greater glider",1,"Left","No","320","30","320","seen","moving","Gum",NA,"0","1","0",22.5833333333333
"91","299-944-0002",2,160,"JJ",2,2024-01-31,0.952777777777778,-37.5112580135464,145.605107014998,"NAR T2 JJ 3","Southern greater glider",1,"Right","No","200","20","470","seen","Idle","Gum",NA,"0","1","0",22.8666666666667
"92","209-502-0002",2,235,"JJ",2,2024-01-30,0.955555555555556,-37.563,145.679,"ACH T2 JJ 4","Yellow-bellied glider",1,"right","No","240","20","280","seen","moving","Stringybark",NA,"0","1","0",22.9333333333333
"93","Babbington",3,270,"JJ",2,2024-01-15,0.931944444444444,-37.38235197,144.249291,"BABB3 JJ 2","Southern greater glider",1,"R","N","100","20","350","seen","Resting","Eucalyptus, String bark",NA,"0","1","0",22.3666666666667
"94","300-910-0007",1,85,"NP",2,2024-02-02,0.895138888888889,-37.5146,145.5706,"DLR2 T1 NP 1","Common ringtail possum",2,"left","Yes","324","12","180","seen","climbing","Silver Wattle",NA,"0","1","0",21.4833333333333
"95","300-910-0007",1,85,"NP",2,2024-02-02,0.902777777777778,-37.5143,145.5711,"DLR2 T1 NP 2","Common ringtail possum",2,"left","Yes","45","4","235","seen","resting","Silver Wattle",NA,"0","1","0",21.6666666666667
"96","300-910-0007",1,85,"NP",2,2024-02-02,0.915972222222222,-37.5145,145.5731,"DLR2 T1 NP 4","Southern greater glider",1,"right","Yes","218","15","400","seen","staring ","Gum",NA,"0","1","0",21.9833333333333
"97","300-910-0007",2,262,"NP",2,2024-02-02,0.961111111111111,-37.5156,145.5697,"DLR2 T2 NP 1","Common ringtail possum",1,"right","Yes","6","3","385","seen","resting","Correa sp.",NA,"0","1","0",23.0666666666667
"98","300-910-0007",3,80,"NP",2,2024-02-02,0.975,-37.5164,145.5689,"DLR2 T3 NP 1","Mountain brushtail possum",2,"left","No","45","7","15","seen","climbing","Silver Wattle",NA,"0","1","0",23.4
"99","300-910-0007",3,80,"NP",2,2024-02-02,0.988194444444444,-37.5162,145.5701,"DLR2 T3 NP 3","Common ringtail possum",1,"left","Yes","135","7","120","seen","resting","Silver Wattle",NA,"0","1","0",23.7166666666667
"100","300-910-0007",3,80,"NP",2,2024-02-02,0.997222222222222,-37.5158,145.5715,"DLR2 T3 NP 4","Common ringtail possum",1,"left","Yes","166","15","250","seen","resting","Silver Wattle",NA,"0","1","0",23.9333333333333
"101","300-910-0007",3,80,"NP",2,2024-02-03,1.01180555555556,-37.5157,145.5732,"DLR2 T3 NP 5","Common ringtail possum",1,"left","Yes","185","21","405","seen","resting","Silver Wattle",NA,"0","1","0",24.2833333333333
"102","300-910-0007",3,80,"NP",2,2024-02-03,1.01666666666667,-37.5156,145.5737,"DLR2 T3 NP 6","Common ringtail possum",1,"right","No","29","6","455","seen","resting","Silver Wattle",NA,"0","1","0",24.4
"103","Gags",1,4,"SC",2,2024-01-23,0.0666666666666667,-37.4842825,145.46362528,"GAG1_SC_1","Southern greater glider",1,"left","No","330","45","235","seen","moving","Peppermint Gum",NA,"0","1","0",1.6
"104","Gags",3,4,"SC",2,2024-01-22,0.930555555555556,-37.48212701,145.4621313,"GAG3_SC_1","Southern greater glider",1,"left","No","225","50","80","seen","idle","Eucalyptus ",NA,"0","1","0",22.3333333333333
"105","Gags",3,4,"SC",2,2024-01-22,0.96875,-37.48212605,145.46213104,"GAG3_SC_2","Southern greater glider",1,"right","No","330","30","450","seen","moving","Eucalyptus ",NA,"0","1","0",23.25
"106","Ginters",1,95,"CT",2,2023-07-25,0.793055555555556,-37.259397,145.588919,"GLI1 CT 2","Feathertail glider",1,"right","no","150","1","250","seen","Gliding","Stringybark",NA,"0","1","0",19.0333333333333
"107","Ginters",2,264,"CT",2,2023-07-25,0.817361111111111,-37.259739,145.590166,"GLI2 CT 3","Southern greater glider",1,"right","no","330","25","140","seen","watching observer","Stringybark",NA,"0","1","0",19.6166666666667
"108","Ginters",3,94,"CT",2,2023-07-25,0.854861111111111,-37.260398,145.588857,"GLI3 CT 4","Southern greater glider",1,"right","no","180","25","250","seen","watching observer","Stringybark",NA,"0","1","0",20.5166666666667
"109","Mohican_1",1,164,"NP",2,2024-02-01,0.930555555555556,-37.3672,145.6626,"MOH T1 NP 3","Common ringtail possum",2,"left","Yes","134","30","385","seen","staring","Gum",NA,"0","1","0",22.3333333333333
"110","Mohican_1",2,342,"NP",2,2024-02-01,0.954861111111111,-37.368,145.6622,"MOH T2 NP 1","Common ringtail possum",1,"left","Yes","191","30","30","seen","resting","Gum",NA,"0","1","0",22.9166666666667
"111","Mohican_1",2,342,"NP",2,2024-02-01,0.959027777777778,-37.3676,145.6623,"MOH T2 NP 2","Common ringtail possum",1,"right","No","331","17","60","seen","resting","Pomaderris sp.",NA,"0","1","0",23.0166666666667
"112","Mohican_2",2,270,"CT",2,2023-07-26,0.904861111111111,-37.377029,145.638413,"MOH_2_CT_1","Common ringtail possum",1,"left","No","88","5","495","seen","idle","Bankia Spp",NA,"0","1","0",21.7166666666667
"113","Mohican_2",3,90,"CT",2,2023-07-26,0.966666666666667,-37.37732,145.643227,"MOH_2_CT_2","Common ringtail possum",1,"left","No","207","5","400","seen","idle","Unknown",NA,"0","1","0",23.2
"114","Mohican_2",3,90,"CT",2,2023-07-26,0.970833333333333,-37.377473,145.643814,"MOH_2_CT_3","Common ringtail possum",2,"left","No","207","5","400","seen","idle","Peppermint",NA,"0","1","0",23.3
"115","Narbethong",1,170,"EW",2,2023-02-08,0.869444444444444,-37.528596,145.588326,"NAR_1_EW_1","Common ringtail possum",1,"Left","Yes","266","10","260","seen","Idle","Acacia Spp",NA,"0","1","0",20.8666666666667
"116","Narbethong",1,170,"EW",2,2023-02-08,0.888888888888889,-37.527397,145.58832,"NAR_1_EW_2","Common ringtail possum",1,"right","Yes","331","2","471","seen","Idle","Acacia Spp","Juvenile","0","1","0",21.3333333333333
"117","Osborne",1,150,"CT",2,2023-06-23,0.79375,-37.365204,144.229748,"OSB_1_CT_2","Southern boobook",1,"right","No","293","10","290","seen","watching observer","Stringybark",NA,"0","1","0",19.05
"118","Osborne",1,150,"CT",2,2023-06-23,0.798611111111111,-37.36545,144.23011,"OSB_1_CT_3","Southern greater glider",1,"left","No","88","5","330","seen","hiding in hollow","Stringybark",NA,"0","1","0",19.1666666666667
"119","Osborne",1,150,"CT",2,2023-06-23,0.801388888888889,-37.365518,144.230179,"OSB_1_CT_4","Southern boobook",1,"right","No","245","3","340","seen","flying overhead","N/A",NA,"0","1","0",19.2333333333333
"120","Osborne",3,150,"CT",2,2023-06-23,0.851388888888889,-37.363,144.228085,"OSB_1_CT_7","Southern greater glider",1,"right","yes","240","5","40","seen","hiding in hollow","Stringybark",NA,"0","1","0",20.4333333333333
"121","Quodpod",2,268,"JJ",2,2024-01-24,0.977083333333333,-37.407863969,145.612694984,"QAU T2 JJ 1","Common ringtail possum",1,"left","No","200","10","20","seen","sitting","Smoothbark Gum",NA,"0","1","0",23.45
"122","Quodpod",1,88,"JJ",2,2024-01-24,0.948611111111111,-37.407687027,145.609483039,"QUA T1 JJ 2","Common ringtail possum",2,"right","No","152","20","170","seen","idle","Smoothbark Gum",NA,"0","1","0",22.7666666666667
