site_ID,transect,transect_bearing,observer,observer_no,date,obs_time,lat,long,waypoint_ID,species,n_animals,left_or_right,right_angle,bearing_to_animal,distance_to_animal,distance_on_transect,obs_type,behavior,tree_species,comments,seen_by_obs1,seen_by_obs2,seen_by_both,obs_id
Castella,3,152,OLM,1,14/9/2023,19:34:00,-37.49242304,145.432794,CAS3 OLM 2,Southern Greater Glider,1,right ,no,47,1,420,seen,idle,"Eucalyptus, stringy bark",,1,1,1,17
Castella,2,305,OLM,1,14/9/2023,20:06:00,-37.492905,145.43338,CAS2 OLM3,Southern Greater Glider,1,left ,no,127,20,140,seen,idle,"Eucalyptus, stringy bark",,1,1,1,18
Castella,2,305,OLM,1,14/9/2023,20:29:00,-37.49401099,145.433603,CAS2 OLM 4,Southern Greater Glider,2,right ,yes,263,50,280,seen,idle,"Eucalyptus, stringy bark",,1,0,0,19
Castella,1,156,OLM,1,14/9/2023,21:25:00,-37.49501497,145.43447,CAS 1 OLM 5,Southern Greater Glider,1,right ,yes,209,15,170,seen,idle,"Eucalyptus, stringy bark",,1,0,0,20
Castella,2,305,CT,2,14/9/2023,20:36:00,-37.494113,145.433547,CAS2 CT1,Southern Greater Glider,2,right ,no,355,30,250,seen,idle,"Eucalyptus, stringy bark",,1,1,1,21
Castella,3,152,CT,2,14/9/2023,19:41:00,-37.49412599,145.433025,CAS3 CT1,Southern Greater Glider,1,right ,no,197,20,320,seen,idle,"Eucalyptus, stringy bark",,1,1,1,22
Castella,3,152,CT,2,14/9/2023,19:53:00,-37.492345,145.43268,CAS3 CT2,Southern Greater Glider,1,right ,no,136,0,400,seen,idle,"Eucalyptus, stringy bark",Obs 2 track missing the end - GPS failed,1,1,1,23
297-806-0001,3,131,SC,2,19/1/2024,00:30:00,-37.48708131,145.4344775,297 3 SC 1,Southern Greater Glider,1,left,Yes,350,15,0,seen,staring,Peppermint Gum,,0,1,0,24
297-806-0001,3,131,SC,2,19/1/2024,00:36:00,-37.4872576,145.4348583,297 3 SC 2,Southern Greater Glider,2,left,No,85,30,35,seen,staring,Peppermint Gum,,0,1,0,25
297-806-0001,3,131,SC,2,19/1/2024,00:55:00,-37.48796759,145.4353864,297 3 SC 3,Eastern Ringtail Possum,2,right,Yes,220,30,125,seen,moving,Peppermint Gum,,0,1,0,26
297-806-0001,1,130,OLM,1,18/1/2024,21:39:00,-37.48687163,145.4356581,297 1 OLM 1,Southern Greater Glider,1,right,No,135,20,60,seen,moving,Peppermint Gum,,1,1,1,27
297-806-0001,1,130,SC,2,18/1/2024,21:45:00,-37.48684698,145.435843,297 1 SC 1,Southern Greater Glider,1,right,No,135,20,67,seen,Active,Peppermint Gum,,1,1,1,28
297-806-0001,1,130,SC,2,18/1/2024,22:08:00,-37.48724797,145.436194,297 1 SC 2,Boobook ,1,left,No,120,60,120,heard,N/A,N/A,,N/A,N/A,N/A,29
297-806-0001,2,312,OLM,1,18/1/2024,22:09:00,-37.4866886,145.4347684,297 2 OLM 2,Boobook ,1,left,No,70,50,350,heard,N/A,N/A,,N/A,N/A,N/A,30
297-806-0001,2,312,OLM,1,18/1/2024,23:09:00,-37.48759078,145.4361973,297 2 OLM 1,Eastern Ringtail Possum,1,right,Yes,0,1,100,seen,moving,Stringybark,,1,1,1,31
297-806-0001,2,312,SC,2,18/1/2024,23:12:00,-37.489209,145.43814,297 2 SC 1,Eastern Ringtail Possum,1,right,No,82,3,107,seen,moving,Stringybark,,1,1,1,32
297-806-0001,2,312,OLM,1,18/1/2024,23:55:00,-37.4867335,145.4347562,297 2 OLM 3,Southern Greater Glider,1,right,No,19,20,500,seen,idle,Peppermint Gum,,1,1,1,33
297-806-0001,2,312,SC,2,18/1/2024,23:57:00,-37.48720597,145.435276,297 2 SC 2,Southern Greater Glider,2,left,No,35,30,441,seen,staring,Peppermint Gum,,0,1,0,34
297-806-0001,2,312,SC,2,19/1/2024,00:12:00,-37.48212605,145.462131,297 2 SC 3,Southern Greater Glider,1,right,Yes,80,25,500,seen,moving,Peppermint Gum,,1,1,1,35
297-806-0001,2,312,SC,2,19/1/2024,00:14:00,-37.48674296,145.4347899,297 2 SC 4,Eastern Ringtail Possum,1,left,No,200,15,500,seen,resting,Peppermint Gum,,0,1,0,36
299-510-0007,1,152,DL,1,16/2/2024,23:18:00,-37.51229829,145.5987217,YEL T1 DL 01,Ringtail Possum,1,Left,Yes,22,5,45,seen,staring,Silver Wattle,,1,0,0,37
299-510-0007,1,152,DL,1,16/2/2024,23:19:00,-37.51230097,145.598691,YEL T1 DL 02,Yellow-bellied Glider,1,Right,No,171,30,45,heard,n/a,n/a,,N/A,N/A,N/A,38
299-510-0007,1,152,DL,1,16/2/2024,23:23:00,-37.51253399,145.598766,YEL T1 DL 03,Mountain Brushtail Possum,1,Right,Yes,228,5,70,seen,staring,Silver Wattle,,1,1,1,39
299-510-0007,1,152,NP,2,16/2/2024,23:30:00,-37.51264396,145.598615,YEL T1 NP 1,Mountain Brushtail Possum,1,Right,Yes,235,10,90,seen,resting,Wattle,,1,1,1,40
299-510-0007,1,152,NP,2,16/2/2024,23:45:00,-37.513816,145.599393,YEL T1 NP 2,Ringtail Possum,1,Left,Yes,47,17,235,seen,resting,Wattle,,0,1,0,41
299-510-0007,1,152,NP,2,17/2/2024,00:05:00,-37.51517002,145.600212,YEL T1 NP 3,Mountain Brushtail Possum,1,Right,Yes,235,20,405,seen,resting,Wattle,,0,1,0,42
299-510-0007,2,327,NP,2,16/2/2024,22:55:00,-37.51344401,145.598452,YEL T2 NP 1,Southern Greater Glider,1,Left,No,219,20,355,seen,resting,Gum/Ash,Prob same as YEL T3 NP 1,0,1,0,43
299-510-0007,3,156,DL,1,16/2/2024,21:18:00,-37.51376898,145.59809,YEL T3 DL 01,Southern Greater Glider,1,Left,Yes,74,50,150,seen,staring,Gum,,1,1,1,44
299-510-0007,3,156,DL,1,16/2/2024,21:42:00,-37.51495804,145.598715,YEL T3 DL 02,Yellow-bellied Glider,1,Right,No,146,40,295,heard,n/a,n/a,,n/a,n/a,n/a,45
299-510-0007,3,156,NP,2,16/2/2024,21:30:00,-37.513801,145.598063,YEL T3 NP 1,Southern Greater Glider,1,Left,No,66,35,155,seen,resting,Gum/Ash,,1,1,1,46
299-510-0007,3,156,NP,2,16/2/2024,21:42:00,-37.51433199,145.598273,YEL T3 NP 2,Yellow-bellied Glider,1,Right,No,236,50,215,heard,n/a,n/a,,n/a,n/a,n/a,47
299-510-0007,3,156,NP,2,16/2/2024,21:46:00,-37.51445202,145.598364,YEL T3 NP 3,Mountain Brushtail Possum,1,Right,No,127,30,235,seen,climbing,Gum,,0,1,0,48
299-510-0007,3,156,NP,2,16/2/2024,21:57:00,-37.51511998,145.59885,YEL T3 NP 4,Southern Greater Glider,1,Left,No,50,35,320,seen,resting,Gum,,0,1,0,49
299-944-0002 (NAR),1,340,JJ,2,31/1/2024,21:24:00,-37.51034598,145.604087,NAR T1 JJ 1,Greater Glider,1,Left,No,330,20,165,Seen,idle,Stringybark,,1,1,1,50
299-944-0002 (NAR),1,340,JJ,2,31/1/2024,22:02:00,-37.50807096,145.603176,NAR T1 JJ 2,Greater Glider,1,right,Yes,0,20,430,Seen,idle,Stringybark,,1,1,1,51
299-944-0002 (NAR),1,340,JLI,1,31/1/2024,21:07:00,-37.51096196,145.60423,NAR T1 JLI 1,Greater Glider,1,Left,No,312,20,108,Seen,moving,Stringybark/Hollow,Emerging from hollow,1,1,1,52
299-944-0002 (NAR),1,340,JLI,1,31/1/2024,21:50:00,-37.50814003,145.603092,NAR T1 JLI 2,Greater Glider,1,right,Yes,16,15,430,Seen,idle,Stringybark,,1,1,1,53
299-944-0002 (NAR),2,160,JJ,2,31/1/2024,22:19:00,-37.50824296,145.603669,NAR T2 JJ 1,Greater Glider,1,Left,Yes,50,25,107,Seen,idle,Gum,,0,1,0,54
299-944-0002 (NAR),2,160,JJ,2,31/1/2024,22:35:00,-37.51012604,145.604375,NAR T2 JJ 2,Greater Glider,1,Left,No,320,30,320,Seen,moving,Gum,,0,1,0,55
299-944-0002 (NAR),2,160,JJ,2,31/1/2024,22:52:00,-37.51125801,145.605107,NAR T2 JJ 3,Greater Glider,1,Right,No,200,20,470,Seen,Idle,Gum,,0,1,0,56
299-944-0002 (NAR),2,160,JLI,1,31/1/2024,22:00:00,-37.50741801,145.60342,NAR T2 JLI 1,Greater Glider,1,Left,Yes,55,20,0,Seen,Watching,Gum,,1,0,0,57
299-944-0002 (NAR),2,160,JLI,1,31/1/2024,22:16:00,-37.50934501,145.604078,NAR T2 JLI 2,Eastern Ring-tailed Possum,2,right,Yes,0,0,226,Seen,Watching,Gum,,1,0,0,58
299-944-0002 (NAR),3,340,JJ,2,31/1/2024,23:15:00,-37.51080296,145.605285,NAR T3 JJ 1,Greater Glider,1,Left,no,210,15,72,Seen,idle,Gum,,1,1,1,59
299-944-0002 (NAR),3,340,JJ,2,31/1/2024,23:23:00,-37.51020097,145.605144,NAR T3 JJ 2,Greater Glider,1,Left,no,210,15,150,Seen,idle,Peppermint,,1,1,1,60
299-944-0002 (NAR),3,340,JJ,2,1/2/2024,00:01:00,-37.50722297,145.603857,NAR T3 JJ 4,Greater Glider,1,Left,no,290,15,500,Seen,Idle,Peppermint,,1,1,1,61
299-944-0002 (NAR),3,340,JLI,1,31/1/2024,23:01:00,-37.51092902,145.605464,NAR T3 JLI 1,Greater Glider,1,Left,Yes,236,25,69,Seen,Feeding,Peppermint,Flowering,1,1,1,62
299-944-0002 (NAR),3,340,JLI,1,31/1/2024,23:07:00,-37.51054698,145.605315,NAR T3 JLI 2,Greater Glider,1,Right,Yes,84,20,112,Seen,Idle,Peppermint,,1,0,0,63
299-944-0002 (NAR),3,340,JLI,1,31/1/2024,23:10:00,-37.51036802,145.605187,NAR T3 JLI 3,Greater Glider,1,Left,No,182,25,130,Seen,Idle,Peppermint,,1,1,1,64
299-944-0002 (NAR),3,340,JLI,1,31/1/2024,23:24:00,-37.50925801,145.604431,NAR T3 JLI 4,Greater Glider,1,right,No,12,25,274,Seen,idle,Peppermint,,1,0,0,65
299-944-0002 (NAR),3,340,JLI,1,31/1/2024,23:52:00,-37.507243,145.604026,NAR T3 JLI 5,Greater Glider,1,right,No,270,20,500,Seen,idle,Peppermint,,1,1,1,66
209-502-0002,1,56,OLM,1,30/1/2024,21:35:00,-37.5626000,145.6811000,ACH T1 OLM 1,Southern Greater Glider,1,left,No,106,20,400,seen,gliding,N/A,,1,0,0,67
209-502-0002,2,235,JJ,2,30/1/2024,22:33:00,-37.5623000,145.6802,ACH T2 JJ 1,Yellow-bellied Glider,1,left,No,280,75,150,heard,calling,N/A,,N/A,N/A,N/A,68
209-502-0002,2,235,JJ,2,30/1/2024,22:52:00,-37.5629000,145.6791,ACH T2 JJ 2,Yellow-bellied Glider,1,right,No,320,35,150,heard,calling,N/A,,N/A,N/A,N/A,69
209-502-0002,2,235,JJ,2,30/1/2024,22:56:00,-37.5630000,145.679,ACH T2 JJ 4,Yellow-bellied Glider,1,right,No,240,20,280,seen,moving,Stringybark,,0,1,0,70
209-502-0002,2,235,OLM,1,30/1/2024,22:33:00,-37.5625000,145.6799,ACH T2 OLM 1,Yellow-bellied Glider,1,left,No,260,50,240,heard,calling,N/A,,N/A,N/A,N/A,71
209-502-0002,2,235,OLM,1,30/1/2024,22:50:00,-37.5630000,145.679,ACH T2 OLM 2,Yellow-bellied Glider,1,left,No,333,50,280,heard,calling,N/A,,N/A,N/A,N/A,72
209-502-0002,2,235,OLM,1,30/1/2024,22:53:00,-37.5630000,145.679,ACH T2 OLM 3,Yellow-bellied Glider,1,left,No,185,50,290,heard,calling,Stringybark,,N/A,N/A,N/A,73
209-502-0002,3,56,JJ,2,30/1/2024,23:24:00,-37.5637000,145.6765,ACH T3 JJ 1,Boobook,1,left,No,290,100,0,heard,calling,N/A,,N/A,N/A,N/A,74
209-502-0002,3,56,OLM,1,30/1/2024,23:24:00,-37.5632000,145.6774,ACH T3 OLM 1,Boobook,1,left,No,275,50,95,heard,calling,N/A,,N/A,N/A,N/A,75
Babbington,1,260,OLM,1,16/1/2024,00:38:00,-37.38113198,144.248764,BABB1 OLM 1,Koala,2,L,N,21,30,300,Heard,Calling,unknown,,N/A,N/A,N/A,76
Babbington,1,260,OLM,1,16/1/2024,00:35:00,-37.38140398,144.249151,BABB1 OLM 2,Southern Greater Glider,1,L,Y,194,25,280,Seen,Idle,"Eucalyptus, stringy bark",,1,0,0,77
Babbington,2,90,OLM,1,16/1/2024,23:53:00,-37.38182098,144.248342,BABB2 OLM 1,Southern Greater Glider,1,L,N,126,35,340,Seen,moving,"Eucalyptus, smooth gum",,1,0,0,78
Babbington,3,270,OLM,1,15/1/2024,21:47:00,-37.38225801,144.247307,BABB3 OLM 1,Eastern Ringtail Possum,1,L,Y,336,10,330,seen,Idle,"Eucalyptus, smooth gum",,1,0,0,79
Babbington,3,270,OLM,1,15/1/2024,22:13:00,-37.38226698,144.248492,BABB3 OLM 3,Southern Greater Glider,1,R,N,95,25,180,Seen,Idle,"Eucalyptus, smooth gum",,1,1,1,80
Babbington,1,260,JJ,2,15/1/2024,00:06:00,-37.38108102,144.245306,BABB1 JJ 1,Boobook,1,L,N,330,100,50,Heard,Calling,unknown,,N/A,N/A,N/A,81
Babbington,1,260,JJ,2,16/1/2024,00:30:00,-37.38105303,144.247512,BABB1 JJ 2,Koala,2,L,N,35,45,200,Heard,Calling,unknown,,N/A,N/A,N/A,82
Babbington,2,90,JJ,2,15/1/2024,23:32:00,-37.38177404,144.248876,BABB2 JJ 1,Eastern Ringtail Possum,1,R,Y,298,30,150,Seen,Resting,"Eucalyptus, String bark",,0,1,0,83
Babbington,3,270,JJ,2,15/1/2024,22:22:00,-37.38235197,144.249291,BABB3 JJ 2,Southern Greater Glider,1,R,N,100,20,350,Seen,Resting,"Eucalyptus, String bark",,1,1,1,84
Backdoor,1,180,OLM,2,13/9/2023,19:54:00,-37.88719,145.983595,BAC1 OLM 1,Deer,1,NA,NA,unknown,unknown,unknown,heard,walking ,NA,,N/A,N/A,N/A,85
Backdoor,1,180,OLM,2,13/9/2023,20:08:00,-37.887051,145.983563,BAC1 OLM 2,Souther Greater Glider,1,left ,no,98,30,38,seen,idle,Stringybark,,0,1,0,86
Backdoor,1,180,OLM,2,13/9/2023,20:21:00,-37.88625204,145.983296,BAC1 OLM 3,Souther Greater Glider,1,right,yes,182,10,9,seen,idle,Stringybark,,0,1,0,87
Boola,1,233,JJ,2,14/2/2024,23:50:00,-38.0839,146.4572,BOOLA 1 JJ 1,Ringtail Possum,3,left,No,220,15,395,seen,idle,Stringybark Gum,,1,1,1,88
Boola,1,233,OLM,1,14/2/2024,23:49:00,-38.0839,146.4571,BOO1 OLM 1,Ringtail Possum,3,left,No,230,15,400,seen,idle,Stringybark Gum,,1,1,1,89
Coliban,1,225,CT,1,15/8/2023,19:10:00,-37.343442,144.26542,COL1_CT_1,brush tailed possum,3,right,yes,300,3,30,seen,idle,unknown dead,,1,1,1,90
Coliban,1,225,CT,1,15/8/2023,19:23:00,-37.343442,144.26542,COL1_CT_2,boobook owl,1,left,no,,,,heard,na,na,,1,1,1,91
Coliban,1,225,CT,1,15/8/2023,19:46:00,-37.344109,144.263788,COL1_CT_3,brushtail possum,1,left,no,154,8,200,seen,idle,stringy bark,,1,1,1,92
Coliban,1,225,CT,1,15/8/2023,19:58:00,-37.344663,144.262172,COL1_CT_4,ring tailed possum,2,right,no,294,5,350,seen,idle,acacia spp,,1,1,1,93
Coliban,1,225,CT,1,15/8/2023,20:08:00,-37.345154,144.260796,COL1_CT_5,brush tailed possum,2,right,no,246,10,490,seen,idle,ribbonbark euc,,1,0,0,94
Coliban,2,60,CT,1,15/8/2023,20:42:00,-37.344714,144.263262,COL2_CT_6,ringtail possum,1,left,no,86,1,320,seen,idle,messmate,,1,1,1,95
Coliban,2,60,CT,1,15/8/2023,20:48:00,-37.34438,144.264086,COL2_CT_7,ringtail possum,2,left,no,351,15,350,seen,idle,stringy bark,,1,0,0,96
Coliban,1,225,OLM,2,15/8/2023,19:25:00,-37.34327302,144.26581,COL1_OLM_1,brush tailed possum,2,right,yes,212,33,0,seen,idle,unknown dead,,1,1,1,97
Coliban,1,225,OLM,2,15/8/2023,19:36:00,-37.34353303,144.265579,COL1_OLM_2,boobook owl,1,left,no,,,,heard,idle,na,,1,1,1,98
Coliban,1,225,OLM,2,15/8/2023,20:11:00,-37.34429704,144.263275,COL1_OLM_3,brushtail possum,1,left,no,75,40,300,seen,idle,unknown,,1,1,1,99
Coliban,1,225,OLM,2,15/8/2023,20:29:00,-37.34462896,144.262248,COL1_OLM_4,ring tailed possum,1,right,no,230,15,490,seen,idle,acacia spp,,1,1,1,100
Coliban,2,60,OLM,2,15/8/2023,21:28:00,-37.34469401,144.263373,COL2_OLM_5,ringtail possum,1,left,no,75,5,320,seen,idle,messmate,,1,1,1,101
Davis,1,334,CKL,1,1/2/2024,21:20:00,-37.890776,145.915205,DAV1 CKL 1,Eastern Ring-tailed Possum,1,right,No,313,10,,seen,moving,Peppermint Gum,,1,0,0,102
Davis,1,334,CKL,1,1/2/2024,21:49:00,-37.88963397,145.91463,DAV1 CKL 2,Yellow-bellied Glider,1,left,No,240,50,,heard,N/A,N/A,,N/A,N/A,N/A,103
Davis,2,152,CKL,1,1/2/2024,22:25:00,-37.89110499,145.915941,DAV2 CKL 1,Southern Greater Glider,2,left,no,43,60,,seen,Idle,Peppermint Gum,,1,1,1,104
Davis,3,334,CKL,1,1/2/2024,23:02:00,-37.89103501,145.916596,DAV3 CKL 1,Eastern Ring-tailed Possum,1,right,No,35,10,,seen,Idle,Tea Tree,,1,0,0,105
Davis,3,334,CKL,1,1/2/2024,23:24:00,-37.89098798,145.916554,DAV3 CKL 2,Southern Greater Glider,1,left,Yes,256,40,,seen,Active,Stringy,,1,1,1,106
Davis,3,334,CKL,1,1/2/2024,23:31:00,-37.89216698,145.916157,DAV3 CKL 3,Southern Greater Glider,2,left,Yes,220,40,,seen,Idle,Peppermint Gum,,1,1,1,107
Davis,1,334,JLI,2,1/2/2024,21:50:00,-37.88973799,145.914572,DAC T1 JLI 01,Yellow-bellied Glider,1,right,Yes,0,1,,heard,N/A,N/A,,N/A,N/A,N/A,108
Davis,1,334,JLI,2,1/2/2024,22:02:00,-37.89109997,145.916188,DAC T1 JLI 02,Yellow-bellied Glider,1,right,No,82,3,,heard,N/A,N/A,,N/A,N/A,N/A,109
Davis,2,152,JLI,2,1/2/2024,22:30:00,-37.892688,145.917712,DAC T2 JLI 01,Southern Greater Glider,2,left,No,35,60,,seen,idle,Peppermint Gum,"Two in same tree, one higher",1,1,1,110
Davis,3,334,JLI,2,1/2/2024,23:29:00,-37.89095596,145.916515,DAC T3 JLI 01,Southern Greater Glider,1,left,No,254,35,,seen,staring,Stringy,,1,1,1,111
Davis,3,334,JLI,2,1/2/2024,23:35:00,-37.89079998,145.916539,DAC T3 JLI 02,Southern Greater Glider,2,left,Yes,208,35,,seen,Idle,Peppermint Gum,,1,1,1,112
300-910-0007,1,85,NP,2,2/2/2024,21:29:00,-37.5146,145.5706,DLR2 T1 NP 1,Eastern Ring-tailed Possum,2,left,Yes,324,12,180,seen,climbing,Silver Wattle,,0,1,0,113
300-910-0007,1,85,NP,2,2/2/2024,21:40:00,-37.5143,145.5711,DLR2 T1 NP 2,Eastern Ring-tailed Possum,2,left,Yes,45,4,235,seen,resting,Silver Wattle,,0,1,0,114
300-910-0007,1,85,NP,2,2/2/2024,21:52:00,-37.5146,145.5725,DLR2 T1 NP 3,Southern Greater Glider,1,right,No,183,30,350,seen,staring ,Gum,,1,1,1,115
300-910-0007,1,85,NP,2,2/2/2024,21:59:00,-37.5145,145.5731,DLR2 T1 NP 4,Southern Greater Glider,1,right,Yes,218,15,400,seen,staring ,Gum,,0,1,0,116
300-910-0007,2,262,NP,2,2/2/2024,23:04:00,-37.5156,145.5697,DLR2 T2 NP 1,Eastern Ring-tailed Possum,1,right,Yes,6,3,385,seen,resting,Correa sp.,,0,1,0,117
300-910-0007,3,80,NP,2,2/2/2024,23:24:00,-37.5164,145.5689,DLR2 T3 NP 1,Mountain Brushtail Possum,2,left,No,45,7,15,seen,climbing,Silver Wattle,,0,1,0,118
300-910-0007,3,80,NP,2,2/2/2024,23:30:00,-37.5164,145.5689,DLR2 T3 NP 2,Sugar Glider,1,right,No,150,30,20,heard,calling,N/A,,N/A,N/A,N/A,119
300-910-0007,3,80,NP,2,2/2/2024,23:43:00,-37.5162,145.5701,DLR2 T3 NP 3,Eastern Ring-tailed Possum,1,left,Yes,135,7,120,seen,resting,Silver Wattle,,0,1,0,120
300-910-0007,3,80,NP,2,2/2/2024,23:56:00,-37.5158,145.5715,DLR2 T3 NP 4,Eastern Ring-tailed Possum,1,left,Yes,166,15,250,seen,resting,Silver Wattle,,0,1,0,121
300-910-0007,3,80,NP,2,3/2/2024,00:17:00,-37.5157,145.5732,DLR2 T3 NP 5,Eastern Ring-tailed Possum,1,left,Yes,185,21,405,seen,resting,Silver Wattle,,0,1,0,122
300-910-0007,3,80,NP,2,3/2/2024,00:24:00,-37.5156,145.5737,DLR2 T3 NP 6,Eastern Ring-tailed Possum,1,right,No,29,6,455,seen,resting,Silver Wattle,,1,1,1,123
300-910-0007,1,85,OLM,1,2/2/2024,21:49:00,-37.5143,145.5711,DLR2 T1 OLM 1,Eastern Ring-tailed Possum,1,right,Yes,95,1,225,seen,moving,Gum,,1,0,0,124
300-910-0007,1,85,OLM,1,2/2/2024,22:09:00,-37.5144,145.5727,DLR2 T1 OLM 2,Southern Greater Glider,1,right,Yes,260,8,360,seen,active,Gum,,1,1,1,125
300-910-0007,2,262,OLM,1,2/2/2024,22:56:00,-37.5151,145.5728,DLR2 T2 OLM 1,Southern Greater Glider,1,right,Yes,140,40,115,seen,idle,Gum,,1,0,0,126
300-910-0007,3,80,OLM,1,3/2/2024,00:35:00,-37.5156,145.5737,DLR2 T3 OLM 1,Eastern Ring-tailed Possum,1,left,Yes,0,1,450,seen,idle,Wattle,,1,1,1,127
Gags,1,4,SC,2,23/1/2024,01:36:00,-37.4842825,145.4636253,GAG1_SC_1,Greater Glider,1,left,No,330,45,235,seen,moving,Peppermint Gum,,0,1,0,128
Gags,1,4,SC,2,23/1/2024,02:00:00,-37.48198738,145.4631747,GAG1_SC_3,Boobook,1,right,No,90,40,500,heard,calling,N/A,,0,1,0,129
Gags,2,184,OLM,1,22/1/2024,22:46:00,-37.48549456,145.4618813,GAG2_OLM_1,Greater Glider,1,left,No,340,20,25,seen,moving,Eucalyptus ,,1,1,1,130
Gags,2,184,SC,2,22/1/2024,23:57:00,-37.48551214,145.461847,GAG2_SC_1,Greater Glider,1,left,No,40,25,25,seen,moving,Eucalyptus ,,1,1,1,131
Gags,3,4,SC,2,22/1/2024,22:20:00,-37.48212701,145.4621313,GAG3_SC_1,Greater Glider,1,left,No,225,50,80,seen,idle,Eucalyptus ,,1,1,1,132
Gags,3,4,SC,2,22/1/2024,23:15:00,-37.48212605,145.462131,GAG3_SC_2,Greater Glider,1,right,No,330,30,450,seen,moving,Eucalyptus ,,1,1,1,133
Gags,3,4,OLM,1,22/1/2024,22:23:00,-37.48205537,145.4621667,GAG3_OLM_1,Greater Glider,1,right,No,218,35,70,seen,idle,Eucalyptus ,,1,1,1,134
Gags,3,4,OLM,1,22/1/2024,23:19:00,-37.48203331,145.4632416,GAG3_OLM_2,Greater Glider,1,left,Yes,68,5,460,seen,moving,Eucalyptus ,,1,1,1,135
Ginters,1,95,CT,2,25/07/2023,18:42:00,-37.259299,145.586595,GLI1 CT 1,Southern Greater Glider,1,left,yes,0,9,30,seen,idle,Stringybark,,1,1,1,136
Ginters,1,95,CT,2,25/07/2023,19:02:00,-37.259397,145.588919,GLI1 CT 2,Feather tail glider,1,right,no,150,1,250,seen,Gliding,Stringybark,,0,1,0,137
Ginters,2,264,CT,2,25/07/2023,19:37:00,-37.259739,145.590166,GLI2 CT 3,Southern Greater Glider,1,right,no,330,25,140,seen,watching observer,Stringybark,,0,1,0,138
Ginters,3,94,CT,2,25/07/2023,20:31:00,-37.260398,145.588857,GLI3 CT 4,Southern Greater Glider,1,right,no,180,25,250,seen,watching observer,Stringybark,,0,1,0,139
